,symbols,counting,in_relation_to
27,М,91,0.12364130434782608
1,Е,69,0.09375
16,У,57,0.07744565217391304
2,4,53,0.07201086956521739
12,>,48,0.06521739130434782
15,Д,47,0.06385869565217392
6,И,45,0.06114130434782609
29,Й,36,0.04891304347826087
9,О,32,0.043478260869565216
14,t,30,0.04076086956521739
23,Р,30,0.04076086956521739
30,1,23,0.03125
21,r,20,0.02717391304347826
31,Х,19,0.025815217391304348
8,Л,19,0.025815217391304348
19,2,18,0.024456521739130436
5,"
",16,0.021739130434782608
10,8,14,0.019021739130434784
3,А,10,0.01358695652173913
7,Ч,8,0.010869565217391304
25,Щ,7,0.009510869565217392
17,<,7,0.009510869565217392
13, ,5,0.006793478260869565
22,Ъ,5,0.006793478260869565
20,К,5,0.006793478260869565
0,Ф,5,0.006793478260869565
26,7,4,0.005434782608695652
4,Ш,4,0.005434782608695652
18,П,4,0.005434782608695652
11,Ь,2,0.002717391304347826
28,5,2,0.002717391304347826
24,Ы,1,0.001358695652173913
